nitems;find;prove;profit;split;first;last;ns;sol
int;int;int;int;int;int;int;int;string
5;5;5;1935;4;2;3;2;10100
5;0;0;1575;5;4;3;3;11100
5;3;3;2091;5;3;4;3;11010
5;0;0;1904;5;4;3;3;11100
5;3;3;2145;5;3;4;3;11010
5;0;0;1593;5;4;3;3;11100
5;0;0;1401;5;4;3;3;11100
5;0;0;1954;5;4;3;3;11100
5;1;1;1945;4;3;4;3;11010
5;1;1;1664;4;3;4;3;11010
5;5;5;1176;3;2;4;2;10010
5;12;12;1657;4;1;4;2;01010
5;0;0;1437;4;3;2;2;11000
5;2;2;1191;4;3;5;3;11001
5;0;0;1775;5;4;3;3;11100
5;0;0;1892;5;4;3;3;11100
5;0;0;2202;6;5;4;4;11110
5;0;0;1928;5;4;3;3;11100
5;0;0;1849;5;4;3;3;11100
5;1;1;1273;4;3;4;3;11010
5;0;0;2686;6;5;4;4;11110
5;0;0;1927;5;4;3;3;11100
5;0;0;1611;5;4;3;3;11100
5;0;0;2088;5;4;3;3;11100
5;0;0;1920;5;4;3;3;11100
5;12;12;2029;4;1;4;3;01110
5;0;0;1944;5;4;3;3;11100
5;4;4;1697;4;2;3;2;10100
5;14;14;1776;5;1;4;3;01110
5;4;4;1476;5;3;5;3;11001
5;6;6;1477;4;2;3;2;10100
5;0;0;2530;5;4;3;3;11100
5;2;2;1052;4;3;5;3;11001
5;13;13;1311;4;1;3;2;01100
5;3;3;2098;5;3;4;3;11010
5;5;5;736;4;2;3;2;10100
5;9;9;1278;4;1;3;2;01100
5;0;0;1547;4;3;2;2;11000
5;2;2;1574;4;3;5;3;11001
5;0;0;1636;5;4;3;3;11100
5;0;0;1809;5;4;3;3;11100
5;3;3;1497;5;3;4;3;11010
5;2;2;2067;4;3;5;3;11001
5;0;0;2426;5;4;3;3;11100
5;0;0;1620;4;3;2;2;11000
5;0;0;1348;5;4;3;3;11100
5;0;0;2532;5;4;3;3;11100
5;4;4;1466;4;2;4;3;10110
5;0;0;2499;5;4;3;3;11100
5;4;4;1544;4;2;4;3;10110
5;0;0;858;5;4;3;3;11100
5;6;6;911;4;2;5;3;10101
5;0;0;1430;4;3;2;2;11000
5;0;0;2149;5;4;3;3;11100
5;0;0;1930;5;4;3;3;11100
5;0;0;1061;4;3;2;2;11000
5;0;0;1351;4;3;2;2;11000
5;4;4;991;4;2;4;3;10110
5;1;1;1713;4;3;4;3;11010
5;0;0;1263;5;4;3;3;11100
5;3;3;1628;5;3;4;3;11010
5;4;4;1402;5;3;5;3;11001
5;0;0;1947;5;4;3;3;11100
5;0;0;1839;5;4;3;3;11100
5;3;3;870;5;3;4;3;11010
5;0;0;1700;5;4;3;3;11100
5;5;5;1456;4;2;3;2;10100
5;0;0;1532;4;3;2;2;11000
5;1;1;1336;4;3;4;3;11010
5;0;0;1593;5;4;3;3;11100
5;0;0;2338;5;4;3;3;11100
5;0;0;2051;5;4;3;3;11100
5;0;0;1301;4;3;2;2;11000
5;0;0;1812;5;4;3;3;11100
5;3;3;2353;5;3;4;3;11010
5;0;0;2243;5;4;3;3;11100
5;0;0;2384;5;4;3;3;11100
5;0;0;1370;4;3;2;2;11000
5;0;0;2617;5;4;3;3;11100
5;8;8;1149;5;2;4;2;10010
5;9;9;1744;4;2;5;3;10011
5;0;0;1346;4;3;2;2;11000
5;6;6;1723;4;2;5;3;10101
5;1;1;1748;4;3;4;3;11010
5;10;10;1566;4;1;3;2;01100
5;0;0;1216;5;4;3;3;11100
5;0;0;1607;5;4;3;3;11100
5;0;0;1440;5;4;3;3;11100
5;5;5;1168;4;2;3;2;10100
5;0;0;2664;5;4;3;3;11100
5;0;0;2314;5;4;3;3;11100
5;2;2;821;4;3;5;3;11001
5;0;0;1773;5;4;3;3;11100
