mokp
ndim;t;m;n;i;nd;ncomp;time;maxnd
int;int;int;int;int;int;int;float;int
3;1;3;110;8;4804;432674253;28983.094;483809
0;3;3;50;7;8298;640072006254;43927.610;166228
0;1;4;10;0;5;1632;0.000;12
3;1;4;10;0;5;364;0.000;12
0;1;4;10;1;15;24990;0.000;66
3;1;4;10;1;15;2571;0.000;66
0;1;4;10;2;6;3870;0.000;22
3;1;4;10;2;6;634;0.000;22
0;1;4;10;3;11;22648;0.000;56
3;1;4;10;3;11;2006;0.000;56
0;1;4;10;4;16;10646;0.000;35
3;1;4;10;4;16;1355;0.000;35
0;1;4;10;5;12;23448;0.000;55
3;1;4;10;5;12;2994;0.000;55
3;3;3;60;5;14964;259749342;27246.400;531178
3;3;3;60;8;9434;159116154;6186.519;346062
3;1;4;50;3;2562;419479348;215.472;75314
3;1;4;50;4;1437;272875625;41.318;38127
0;1;4;50;6;1103;12037492413;306.975;24326
3;1;4;50;9;1471;53534974;35.030;35766
0;3;4;30;0;1182;4826362335;56.162;18105
3;1;4;70;0;11139;18791891280;10084.626;377986
3;1;4;70;4;6826;12857490668;4831.990;266419
3;3;2;10;1;7;959;0.000;31
3;3;2;10;2;7;467;0.000;19
3;3;2;10;0;12;1566;0.000;36
0;3;2;10;4;3;5075;0.000;19
0;3;2;10;5;18;30094;0.000;74
0;1;2;30;5;22;2394738;0.009;420
3;3;2;20;6;31;30123;0.004;301
0;3;2;20;2;41;1195817;0.005;343
0;1;2;50;2;35;45589017;0.175;1145
3;3;2;30;3;72;204765;0.047;1089
3;3;2;30;9;46;124456;0.021;809
3;3;2;30;5;115;224063;0.048;1488
3;3;2;40;5;106;700212;0.249;3302
0;3;2;40;4;89;154904733;0.752;2167
3;1;2;90;2;87;6592036;7.160;11587
0;3;2;50;8;134;670591363;4.104;4704
3;1;2;90;5;167;8987495;15.047;16298
0;1;2;70;6;120;5460934009;48.250;10546
0;1;2;70;7;97;4939018204;46.603;11017
3;1;2;110;2;129;16838653;52.279;22146
0;3;2;60;3;227;10214589100;101.363;17011
3;1;3;50;7;507;4057144;3.396;12828
3;1;3;50;8;524;4570139;3.946;13576
0;3;3;30;0;1004;705052694;4.740;7684
3;3;3;30;1;767;1345179;0.824;7746
0;3;3;30;3;646;2011842401;15.302;15999
3;3;3;30;9;688;1562104;0.705;10920
3;1;2;110;9;258;35434429;464.202;50895
3;1;2;50;6;53;976090;0.487;3933
3;1;3;70;0;1226;50632562;645.840;100795
0;3;3;40;1;1874;22541948240;561.398;36785
0;1;2;110;5;227;58983759354;1256.482;29976
0;3;2;60;7;292;29720976604;607.318;28136
3;3;3;50;0;2966;43944664;413.549;136508
3;3;3;50;2;4364;36436984;449.133;112732
0;1;2;110;9;258;128368886990;3692.586;50895
3;3;3;50;3;9022;74934360;1153.630;220888
3;3;3;50;4;7505;52620281;567.890;175336
0;3;3;50;4;7505;570616874917;24706.422;175336
3;1;3;110;2;5391;500083370;35932.645;546608
3;1;3;110;5;9078;676873280;65647.102;793364
3;1;4;70;2;10564;29165001332;7221.269;283659
3;1;3;90;2;2679;163021621;3409.529;239867
3;1;4;70;6;9311;4088434787;1843.055;252840
3;1;3;90;1;5399;296708958;33881.633;470171
0;3;2;10;8;12;14715;0.000;46
3;3;2;10;3;12;1899;0.000;52
0;3;2;10;6;7;3393;0.000;17
0;3;2;10;7;10;21796;0.000;56
3;3;2;10;4;3;779;0.000;19
0;1;2;30;9;21;2483522;0.010;416
3;3;2;20;0;22;13428;0.002;188
0;3;2;20;7;65;4546103;0.018;638
3;3;2;20;3;37;32154;0.005;343
3;1;2;50;0;53;695281;0.219;2258
3;3;2;30;1;59;141166;0.026;856
0;3;2;30;8;80;11186012;0.044;774
3;1;2;70;2;59;1594391;0.723;3622
3;3;2;40;2;107;890150;0.398;4409
