chub5
n;m;t;i;s;opt;best;iter;time
int;int;float;int;int;float;float;int;float
250;5;0.25;3;3;61562;62130;38;0.931828
250;5;0.25;3;4;61561;62130;123;0.964753
250;5;0.25;3;5;61502;62130;130;0.940666
250;5;0.25;3;6;61673;62130;170;1.103181
250;5;0.25;3;7;61595;62130;170;1.167537
250;5;0.25;3;8;61630;62130;272;1.003396
250;5;0.25;3;9;61576;62130;284;1.131108
250;5;0.25;4;0;59087;59463;120;1.239108
250;5;0.25;4;1;58972;59463;181;1.237517
250;5;0.25;4;2;59135;59463;83;1.234253
250;5;0.25;4;3;58983;59463;70;1.241326
250;5;0.25;4;4;59111;59463;135;1.123827
250;5;0.25;4;5;59038;59463;190;1.025301
250;5;0.25;4;6;59056;59463;173;0.931378
250;5;0.25;4;7;59051;59463;90;0.788090
250;5;0.25;4;8;59002;59463;258;0.799230
250;5;0.25;4;9;59078;59463;81;0.796629
250;5;0.25;5;0;58464;58951;180;1.296236
250;5;0.25;5;1;58440;58951;136;0.840204
250;5;0.25;5;2;58484;58951;221;1.086768
250;5;0.25;5;3;58466;58951;41;1.089950
250;5;0.25;5;4;58582;58951;127;1.240902
250;5;0.25;5;5;58449;58951;142;1.199999
250;5;0.25;5;6;58494;58951;106;1.266444
250;5;0.25;5;7;58538;58951;150;1.219755
250;5;0.25;5;8;58532;58951;199;0.847277
250;5;0.25;5;9;58566;58951;279;0.841159
250;5;0.25;6;0;59730;60077;29;1.368649
250;5;0.25;6;1;59609;60077;117;1.186770
250;5;0.25;6;2;59653;60077;19;0.952536
250;5;0.25;6;3;59592;60077;273;0.943257
250;5;0.25;6;4;59584;60077;147;0.942133
250;5;0.25;6;5;59577;60077;99;0.948323
250;5;0.25;6;6;59655;60077;203;0.963301
250;5;0.25;6;7;59643;60077;59;0.945122
250;5;0.25;6;8;59641;60077;27;0.949796
250;5;0.25;6;9;59537;60077;265;1.139326
250;5;0.25;7;0;60080;60414;73;1.041531
250;5;0.25;7;1;59960;60414;164;1.177259
250;5;0.25;7;2;59946;60414;150;1.174264
250;5;0.25;7;3;59950;60414;3;1.219043
250;5;0.25;7;4;60032;60414;165;1.031407
250;5;0.25;7;5;59891;60414;293;1.036701
250;5;0.25;7;6;59973;60414;105;1.161287
250;5;0.25;7;7;59994;60414;149;1.219682
250;5;0.25;7;8;59967;60414;278;1.250518
250;5;0.25;7;9;59952;60414;278;1.246056
250;5;0.25;8;0;61034;61472;19;1.221283
250;5;0.25;8;1;61118;61472;59;1.336161
250;5;0.25;8;2;60969;61472;224;1.441420
250;5;0.25;8;3;61082;61472;285;1.237130
250;5;0.25;8;4;60961;61472;218;1.239737
250;5;0.25;8;5;61093;61472;82;1.302358
250;5;0.25;8;6;61043;61472;203;1.443672
250;5;0.25;8;7;60966;61472;175;1.450450
250;5;0.25;8;8;60944;61472;234;1.456381
250;5;0.25;8;9;60976;61472;73;1.378947
250;5;0.25;9;0;61464;61885;299;1.401118
250;5;0.25;9;1;61361;61885;171;1.401421
250;5;0.25;9;2;61445;61885;237;1.182952
250;5;0.25;9;3;61344;61885;210;1.152844
250;5;0.25;9;4;61411;61885;89;0.990866
250;5;0.25;9;5;61379;61885;148;0.907746
250;5;0.25;9;6;61384;61885;56;0.900828
250;5;0.25;9;7;61346;61885;284;0.923757
250;5;0.25;9;8;61332;61885;217;0.908219
250;5;0.25;9;9;61434;61885;183;1.160050
250;5;0.25;10;0;58604;58959;140;0.815086
250;5;0.25;10;1;58360;58959;262;0.801291
250;5;0.25;10;2;58519;58959;137;0.802013
250;5;0.25;10;3;58369;58959;81;0.802196
250;5;0.25;10;4;58522;58959;166;0.807491
250;5;0.25;10;5;58517;58959;293;0.806445
250;5;0.25;10;6;58502;58959;57;0.819489
250;5;0.25;10;7;58456;58959;78;0.804225
250;5;0.25;10;8;58403;58959;245;0.801774
250;5;0.25;10;9;58463;58959;293;1.020155
250;10;0.25;1;0;58469;59187;263;1.233690
250;10;0.25;1;1;58531;59187;270;1.212760
250;10;0.25;1;2;58541;59187;294;0.953808
250;10;0.25;1;3;58649;59187;120;1.074877
250;10;0.25;1;4;58647;59187;230;1.218975
250;10;0.25;1;5;58585;59187;232;1.264705
250;10;0.25;1;6;58388;59187;193;1.261374
250;10;0.25;1;7;58465;59187;291;1.283845
250;10;0.25;1;8;58437;59187;166;1.247396
250;10;0.25;1;9;58392;59187;112;1.062050
250;10;0.25;2;0;58005;58781;100;1.224090
250;10;0.25;2;1;57911;58781;30;1.316634
250;10;0.25;2;2;58031;58781;246;1.009441
250;10;0.25;2;3;57977;58781;190;1.125507
250;10;0.25;2;4;57996;58781;32;1.233313
250;10;0.25;2;5;58004;58781;42;1.366059
250;10;0.25;2;6;58074;58781;241;0.977200
250;10;0.25;2;7;58046;58781;68;1.530498
250;10;0.25;2;8;58022;58781;91;1.530303
250;10;0.25;2;9;58120;58781;78;1.390787
250;10;0.25;3;0;57260;58097;70;1.331274
250;10;0.25;3;1;57506;58097;173;1.463917
250;10;0.25;3;2;57324;58097;192;1.191394
250;10;0.25;3;3;57254;58097;130;1.009110
250;10;0.25;3;4;57293;58097;253;0.989857
250;10;0.25;3;5;57277;58097;127;1.050635
250;10;0.25;3;6;57280;58097;111;0.918335
250;10;0.25;3;7;57246;58097;131;1.252478
250;10;0.25;3;8;57394;58097;264;0.970638
250;10;0.25;3;9;57407;58097;290;0.991992
250;10;0.25;4;0;60369;61000;102;1.673378
250;10;0.25;4;1;60377;61000;188;1.349032
250;10;0.25;4;2;60298;61000;90;1.382041
250;10;0.25;4;3;60250;61000;77;1.233817
250;10;0.25;4;4;60261;61000;36;1.050167
250;10;0.25;4;5;60310;61000;124;1.052014
250;10;0.25;4;6;60425;61000;127;1.048089
250;10;0.25;4;7;60211;61000;37;1.047455
250;10;0.25;4;8;60219;61000;22;1.056018
250;10;0.25;4;9;60246;61000;68;1.046417
250;10;0.25;5;0;57481;58092;80;1.585207
250;10;0.25;5;1;57504;58092;176;1.590754
250;10;0.25;5;2;57459;58092;124;1.329662
