n;m;nsets
int;int;int
19;2;284
20;2;618
22;2;1436
24;2;676
26;2;1540
28;2;3196
30;2;1853
35;2;2831
40;2;12546
5;2;17
6;2;29
7;2;18
8;2;68
9;2;107
10;2;66
11;2;99
12;2;107
13;2;138
14;2;138
15;2;223
16;2;243
17;2;428
18;2;305
19;2;727
20;2;672
22;2;633
24;2;904
26;2;1281
28;2;2818
30;2;3296
35;2;3258
40;2;7043
5;2;23
6;2;19
7;2;44
8;2;37
9;2;48
10;2;72
11;2;165
12;2;143
13;2;194
14;2;240
15;2;372
16;2;414
17;2;423
18;2;426
19;2;571
20;2;789
22;2;656
24;2;1760
26;2;1207
28;2;1475
30;2;2147
35;2;1579
40;2;5869
5;2;10
6;2;22
7;2;28
8;2;31
9;2;52
10;2;119
11;2;101
12;2;205
13;2;87
14;2;218
15;2;380
16;2;242
17;2;349
18;2;385
19;2;406
20;2;1001
22;2;774
24;2;829
26;2;1302
28;2;2451
30;2;2502
35;2;2565
40;2;3753
5;2;17
6;2;32
7;2;35
8;2;18
9;2;60
10;2;46
11;2;67
12;2;178
13;2;169
14;2;180
15;2;182
16;2;198
17;2;564
18;2;583
19;2;366
20;2;434
22;2;1241
24;2;646
26;2;1171
28;2;1708
30;2;4145
35;2;2351
40;2;6238
5;2;16
6;2;32
7;2;61
8;2;44
9;2;45
10;2;36
11;2;85
12;2;106
13;2;196
14;2;199
15;2;202
16;2;364
17;2;340
18;2;272
19;2;804
20;2;419
22;2;335
24;2;1093
26;2;1827
28;2;756
30;2;2032
35;2;5684
40;2;6488
5;2;23
6;2;18
7;2;23
8;2;53
9;2;61
10;2;51
11;2;105
12;2;197
13;2;149
14;2;172
15;2;161
16;2;215
17;2;449
18;2;347
19;2;394
20;2;211
22;2;871
24;2;2190
26;2;1253
28;2;1406
30;2;1201
35;2;3127
40;2;5118
5;2;17
6;2;27
7;2;34
8;2;29
9;2;41
10;2;112
11;2;99
12;2;140
13;2;373
14;2;189
15;2;192
16;2;407
17;2;273
18;2;436
19;2;730
20;2;791
22;2;594
24;2;1213
26;2;1848
28;2;853
30;2;3598
35;2;1780
40;2;5200
5;2;13
6;2;27
7;2;41
8;2;71
9;2;58
10;2;75
11;2;102
12;2;204
13;2;172
14;2;204
15;2;333
16;2;171
17;2;210
18;2;356
19;2;611
20;2;390
22;2;754
24;2;964
26;2;1062
28;2;1915
30;2;1807
35;2;3372
40;2;8660
5;2;13
6;2;16
7;2;26
8;2;50
9;2;55
10;2;74
11;2;262
12;2;149
13;2;112
14;2;155
15;2;143
16;2;557
17;2;206
18;2;372
19;2;625
20;2;650
22;2;908
24;2;991
26;2;2813
28;2;1582
30;2;2747
35;2;4214
40;2;6600
5;2;19
6;2;31
7;2;57
8;2;98
9;2;54
10;2;90
11;2;153
12;2;113
13;2;167
14;2;168
15;2;522
16;2;296
17;2;325
18;2;241
19;2;515
20;2;1079
22;2;698
24;2;952
26;2;745
28;2;1605
30;2;1582
35;2;3803
40;2;3737
5;2;20
6;2;18
7;2;46
8;2;43
9;2;31
10;2;113
11;2;56
12;2;182
13;2;156
14;2;290
15;2;317
16;2;340
17;2;371
18;2;955
19;2;590
20;2;414
22;2;902
24;2;1538
26;2;741
28;2;3075
30;2;2146
35;2;2664
40;2;7369
5;2;31
6;2;25
7;2;21
8;2;37
9;2;94
10;2;79
11;2;261
12;2;196
13;2;208
14;2;161
15;2;155
16;2;736
17;2;572
18;2;771
19;2;613
20;2;491
22;2;590
24;2;1225
26;2;1477
28;2;1141
30;2;2179
35;2;1548
40;2;7344
5;2;14
6;2;22
7;2;35
8;2;64
9;2;40
10;2;70
11;2;56
12;2;99
13;2;92
14;2;168
15;2;202
16;2;598
17;2;584
18;2;378
19;2;507
20;2;682
22;2;710
24;2;3240
26;2;2819
28;2;1721
30;2;1655
35;2;3853
40;2;4276
5;2;11
6;2;26
7;2;31
8;2;57
9;2;42
10;2;47
11;2;87
12;2;164
13;2;152
14;2;180
15;2;223
16;2;418
17;2;414
18;2;208
19;2;637
20;2;693
22;2;686
24;2;646
26;2;1757
28;2;2193
30;2;4329
35;2;3900
40;2;3098
5;2;12
6;2;24
7;2;41
8;2;65
9;2;32
10;2;126
11;2;122
12;2;169
13;2;109
14;2;149
15;2;230
16;2;216
17;2;374
18;2;664
19;2;445
20;2;639
22;2;988
24;2;1198
26;2;1431
28;2;1756
30;2;2220
35;2;3206
40;2;3502
5;2;12
6;2;26
7;2;34
8;2;27
9;2;48
10;2;62
11;2;71
12;2;174
13;2;116
14;2;234
15;2;289
16;2;404
17;2;335
18;2;384
19;2;1160
20;2;1380
22;2;1505
24;2;1399
26;2;1359
28;2;1330
30;2;1873
35;2;4262
40;2;3252
5;3;31
6;3;20
7;3;67
8;3;65
9;3;149
10;3;107
11;3;266
12;3;162
13;3;414
14;3;560
15;3;168
16;3;611
17;3;1117
18;3;694
19;3;1037
20;3;3709
22;3;1971
24;3;2713
26;3;7268
28;3;9083
30;3;6012
35;3;29301
5;3;19
6;3;46
7;3;52
8;3;62
9;3;190
10;3;159
11;3;332
12;3;229
13;3;209
14;3;349
15;3;389
16;3;706
17;3;2255
18;3;2407
19;3;2626
20;3;2850
22;3;1321
24;3;3648
26;3;3480
28;3;6228
30;3;13054
5;3;30
6;3;23
7;3;22
8;3;77
9;3;76
10;3;207
11;3;178
12;3;236
13;3;287
14;3;414
15;3;328
16;3;926
17;3;665
18;3;600
19;3;990
20;3;1195
22;3;3417
24;3;3414
26;3;5656
28;3;5218
30;3;9243
5;3;24
6;3;55
7;3;46
8;3;70
9;3;128
10;3;195
11;3;200
12;3;292
13;3;257
14;3;315
15;3;647
16;3;557
17;3;1343
18;3;594
19;3;790
20;3;1670
22;3;4127
24;3;1586
26;3;6012
28;3;6825
30;3;7060
5;3;15
6;3;21
7;3;57
8;3;66
9;3;102
10;3;93
11;3;159
12;3;196
13;3;249
14;3;347
15;3;1103
16;3;1047
17;3;1253
18;3;835
19;3;1269
20;3;2035
22;3;4569
24;3;3501
26;3;2945
28;3;12809
30;3;7130
5;3;21
6;3;24
7;3;25
8;3;64
9;3;82
10;3;173
11;3;176
12;3;169
13;3;158
14;3;628
15;3;331
16;3;930
17;3;884
18;3;1030
19;3;1128
20;3;669
22;3;1832
24;3;4216
26;3;6304
28;3;2921
30;3;7093
5;3;11
6;3;23
7;3;67
8;3;49
9;3;88
10;3;160
11;3;196
12;3;233
13;3;172
14;3;878
15;3;946
16;3;736
17;3;709
18;3;1303
19;3;1215
20;3;2135
22;3;2258
24;3;4898
26;3;7585
28;3;6773
30;3;11185
5;3;13
6;3;31
7;3;45
8;3;160
9;3;184
10;3;101
11;3;287
12;3;160
13;3;199
14;3;746
15;3;830
16;3;786
17;3;979
18;3;357
19;3;3189
20;3;1038
22;3;4306
24;3;2270
26;3;6291
28;3;8217
30;3;10270
5;3;21
6;3;28
7;3;49
8;3;50
9;3;75
10;3;179
11;3;202
12;3;472
13;3;616
14;3;297
15;3;722
16;3;715
17;3;523
18;3;517
19;3;2125
20;3;6713
22;3;7025
24;3;4176
26;3;5880
28;3;10837
30;3;14590
5;3;22
6;3;20
7;3;37
8;3;95
9;3;316
10;3;84
11;3;362
12;3;360
13;3;463
14;3;579
15;3;398
16;3;343
17;3;530
18;3;243
19;3;2703
20;3;678
22;3;3173
24;3;3032
26;3;3242
28;3;9754
30;3;5578
5;3;24
6;3;33
7;3;52
8;3;93
9;3;59
10;3;162
11;3;253
12;3;241
13;3;272
14;3;828
15;3;617
16;3;427
17;3;818
18;3;1827
19;3;3917
20;3;3399
22;3;1723
24;3;4370
26;3;2522
28;3;9212
30;3;11718
5;3;14
6;3;30
7;3;43
8;3;53
9;3;116
10;3;148
11;3;178
12;3;260
13;3;495
14;3;508
15;3;566
16;3;960
17;3;931
18;3;2410
19;3;975
20;3;4911
22;3;2313
24;3;4295
26;3;11776
28;3;4914
30;3;14505
5;3;31
6;3;39
7;3;39
8;3;48
9;3;166
10;3;227
11;3;169
12;3;253
13;3;582
14;3;310
15;3;1378
16;3;289
17;3;996
18;3;1671
19;3;2622
20;3;764
22;3;2203
24;3;4491
26;3;3956
28;3;4768
30;3;3857
5;3;25
6;3;29
7;3;68
8;3;140
9;3;117
10;3;87
11;3;265
12;3;425
13;3;213
14;3;1228
15;3;455
16;3;700
17;3;426
18;3;994
19;3;2460
20;3;2310
22;3;6348
24;3;2904
26;3;1982
28;3;10156
30;3;6091
5;3;16
6;3;18
7;3;78
8;3;36
9;3;115
10;3;157
11;3;214
12;3;321
13;3;193
14;3;904
15;3;878
16;3;269
17;3;735
18;3;2553
19;3;2674
20;3;1689
22;3;3381
24;3;12428
26;3;5476
28;3;4858
30;3;3523
5;3;21
6;3;36
7;3;43
8;3;95
9;3;59
10;3;149
11;3;328
12;3;276
13;3;809
14;3;392
15;3;568
16;3;654
17;3;343
18;3;1079
19;3;1762
20;3;1318
22;3;5643
24;3;3124
26;3;1933
28;3;10150
30;3;14383
5;3;19
6;3;22
7;3;40
8;3;74
9;3;74
10;3;345
11;3;227
12;3;450
13;3;392
14;3;340
15;3;414
16;3;339
17;3;759
18;3;1377
19;3;969
20;3;1231
22;3;1521
24;3;8599
26;3;1798
28;3;7544
30;3;3531
5;3;25
6;3;32
7;3;46
8;3;63
9;3;393
10;3;105
11;3;333
12;3;253
13;3;434
14;3;317
15;3;652
16;3;1043
17;3;988
18;3;1071
19;3;2643
20;3;2568
22;3;2615
24;3;7307
26;3;3393
28;3;6268
30;3;8693
5;3;17
6;3;26
7;3;73
8;3;85
9;3;73
10;3;206
11;3;127
12;3;118
13;3;205
14;3;188
15;3;649
16;3;973
17;3;1598
18;3;1376
19;3;1188
20;3;1095
22;3;2574
24;3;3205
26;3;8384
28;3;4528
30;3;16700
5;3;23
6;3;39
7;3;49
8;3;58
9;3;67
10;3;85
11;3;114
12;3;134
13;3;638
14;3;852
15;3;485
16;3;598
17;3;2824
18;3;2688
19;3;922
20;3;1738
22;3;5323
24;3;11013
26;3;6078
28;3;17715
30;3;10810
5;3;31
6;3;50
7;3;26
8;3;68
9;3;63
10;3;74
11;3;346
12;3;240
13;3;389
14;3;185
15;3;744
16;3;717
17;3;806
18;3;1425
19;3;566
20;3;1750
22;3;5059
24;3;4377
26;3;5724
28;3;6419
30;3;16461
5;3;25
6;3;45
7;3;42
8;3;96
9;3;65
10;3;166
11;3;296
12;3;206
13;3;395
14;3;146
15;3;375
16;3;187
17;3;862
18;3;1580
19;3;1025
20;3;1983
22;3;4471
24;3;2813
26;3;6272
28;3;10466
30;3;5420
5;3;19
6;3;41
7;3;32
8;3;90
9;3;159
10;3;119
11;3;156
12;3;262
13;3;209
14;3;272
15;3;1325
16;3;1146
17;3;596
18;3;1964
19;3;1877
20;3;1829
22;3;2169
24;3;3490
26;3;3648
28;3;14973
30;3;11595
5;3;31
6;3;36
7;3;28
8;3;120
9;3;112
10;3;110
11;3;303
12;3;284
13;3;286
14;3;319
15;3;1052
16;3;541
17;3;574
18;3;1680
19;3;756
20;3;1278
22;3;1403
24;3;1762
26;3;2022
28;3;3074
30;3;6865
5;3;23
6;3;28
7;3;37
8;3;105
9;3;88
10;3;138
11;3;220
12;3;264
13;3;200
14;3;757
15;3;827
16;3;954
17;3;804
18;3;883
19;3;1863
20;3;1998
22;3;3261
24;3;9330
26;3;3118
28;3;5481
30;3;9181
5;3;20
6;3;39
7;3;55
8;3;61
9;3;112
10;3;165
11;3;118
12;3;571
13;3;278
14;3;195
15;3;492
16;3;663
17;3;623
18;3;2891
19;3;2872
20;3;1014
22;3;684
24;3;1676
26;3;11143
28;3;12775
30;3;13164
5;3;17
6;3;27
7;3;36
8;3;64
9;3;172
10;3;140
11;3;154
12;3;156
13;3;442
14;3;1464
15;3;1596
16;3;1406
17;3;940
18;3;1129
19;3;1679
20;3;2750
22;3;2659
24;3;6662
26;3;4226
28;3;10810
30;3;3347
5;3;19
6;3;22
7;3;68
8;3;66
9;3;86
10;3;144
11;3;158
12;3;165
13;3;322
14;3;461
15;3;657
16;3;653
17;3;357
18;3;1310
19;3;627
20;3;1981
22;3;3233
24;3;1922
26;3;6374
28;3;6367
30;3;9265
5;3;23
6;3;22
7;3;91
8;3;84
9;3;102
10;3;153
11;3;187
12;3;198
13;3;305
14;3;1197
15;3;632
16;3;842
17;3;1525
18;3;1577
19;3;1247
20;3;2971
22;3;8734
24;3;4357
26;3;6143
28;3;6361
30;3;23363
5;3;21
6;3;27
7;3;43
8;3;65
9;3;120
10;3;126
11;3;105
12;3;390
13;3;738
14;3;499
15;3;688
16;3;952
17;3;639
18;3;1103
19;3;1306
20;3;3124
22;3;2972
24;3;3204
26;3;6415
28;3;7660
30;3;5813
5;3;15
6;3;20
7;3;26
8;3;47
9;3;114
10;3;78
11;3;163
12;3;225
13;3;557
14;3;224
15;3;320
16;3;1243
17;3;1247
18;3;1044
19;3;1781
20;3;1101
22;3;4420
24;3;5505
26;3;12578
28;3;6020
30;3;3918
5;3;18
6;3;28
7;3;28
8;3;61
9;3;76
10;3;164
11;3;160
12;3;264
13;3;461
14;3;549
15;3;1085
16;3;637
17;3;1335
18;3;1035
19;3;1326
20;3;3098
22;3;3034
24;3;2425
26;3;3412
28;3;6508
30;3;8566
5;3;24
6;3;38
7;3;44
8;3;68
9;3;146
10;3;142
11;3;245
12;3;102
13;3;139
14;3;291
15;3;760
16;3;490
17;3;941
18;3;2349
19;3;547
20;3;2036
22;3;3195
24;3;2491
26;3;3372
28;3;6246
30;3;8779
5;3;15
6;3;21
7;3;40
8;3;46
9;3;81
10;3;334
11;3;258
12;3;236
13;3;224
14;3;815
15;3;1104
16;3;622
17;3;1397
18;3;1886
19;3;2503
20;3;1456
22;3;2655
24;3;4392
26;3;7737
28;3;13613
30;3;17630
5;3;12
6;3;34
7;3;42
8;3;69
9;3;66
