mokp
c;ndim;m;n;i;nd;comp;time;maxnd
varchar;int;int;int;int;int;int;float;int
B;1;3;400;4;205;23135245770;812.744;254787
C;2;3;20;1;283;963059;0.046;1197
C;1;3;20;6;211;3263656;0.075;1598
C;1;3;20;10;459;5331012;0.135;2038
C;3;3;30;3;646;1919561;0.986;15999
C;2;3;30;9;688;32457204;1.577;10920
C;3;3;30;7;1744;3227997;1.734;19228
C;1;3;30;8;1040;221956989;7.568;12659
C;2;3;40;4;2884;1071130780;73.053;45507
C;2;3;40;3;2772;1005283699;107.120;58477
D;3;3;10;7;104;6956;0.001;196
D;2;3;20;1;2798;134004539;8.039;20903
D;2;3;20;6;7411;286086360;23.808;31769
C;1;3;40;10;4781;7232928960;382.795;65709
C;1;3;40;5;3436;11188299437;722.126;77237
D;3;3;30;10;13420;56711269;825.045;333196
D;3;3;30;8;9850;74713878;1333.721;400465
D;1;3;30;5;7443;69675785322;6323.982;230575
A;1;2;40;10;33;899502;0.034;645
A;1;2;40;9;52;3703070;0.082;1451
A;1;2;40;7;58;5399004;0.124;1865
A;1;2;40;8;31;2400579;0.050;1034
A;2;2;60;9;79;2261283;1.562;5705
A;2;2;80;5;105;3566231;2.241;6820
A;2;2;80;4;86;4223206;2.744;8071
A;1;2;80;3;109;348298054;8.851;9453
A;2;2;100;4;137;11434771;16.765;18471
A;2;2;100;6;194;21700145;107.844;31141
A;1;2;120;2;165;3384642273;185.944;31179
A;2;2;120;4;227;32024554;181.169;39576
B;2;2;300;5;32;49341338;119.541;23902
A;1;2;100;8;215;4476862758;258.401;36275
B;1;2;400;5;52;2574159120;71.319;66409
B;2;2;400;3;19;68643729;195.355;29646
B;1;2;500;2;43;7338765538;191.860;106641
B;2;2;400;8;34;125048076;551.806;51981
C;1;2;80;6;422;6043970248;378.774;43929
C;2;2;100;5;546;55950763;623.353;70649
D;2;2;50;1;527;31525702;860.634;88403
B;2;2;400;10;41;353302517;2314.563;168761
D;2;2;50;5;526;34456632;864.943;95818
C;2;2;100;2;522;53630569;894.574;73626
A;2;3;50;1;542;500090313;23.277;20038
A;2;3;50;2;447;236664390;15.172;19053
A;3;3;50;2;447;5816787;6.083;19053
A;1;3;50;3;748;1179083452;50.297;23789
C;1;2;100;6;538;24506055870;1968.136;84276
A;3;3;70;3;2059;49922700;319.089;98939
D;1;2;50;3;614;43306325954;4111.737;130729
D;1;2;50;7;504;19465218130;1590.197;84078
A;1;3;70;8;1622;14425743836;1124.878;80002
C;2;2;100;10;555;75500054;2307.915;107093
B;3;3;200;9;89;36256056;37.241;26791
B;1;3;200;10;80;384934337;11.689;22794
B;3;3;200;10;79;32256041;28.963;22567
B;1;3;300;3;110;3971385932;125.164;101071
B;2;3;300;3;98;1972464252;766.433;98967
A;2;3;70;6;3413;59577458884;8690.082;234049
C;3;3;20;1;283;107447;0.038;1197
C;2;3;20;8;160;738823;0.063;1878
C;1;3;20;8;161;3956575;0.093;1881
C;2;3;30;8;1034;40202828;2.286;12618
C;3;3;30;5;1896;3159883;2.764;19218
C;1;3;30;4;736;122691133;3.406;9433
C;1;3;30;10;1041;311794562;9.138;14394
C;3;3;40;6;3244;19579783;50.668;68761
C;2;3;40;7;3331;1213789417;98.476;55099
C;2;3;40;10;4712;2694809312;174.396;65192
D;1;3;10;8;120;43497;0.001;187
C;1;3;40;8;3445;4213246269;198.743;47368
D;3;3;10;8;120;6395;0.002;187
D;1;3;20;2;6061;419052123;11.048;20738
D;2;3;20;4;6033;194056962;12.685;21773
D;2;3;20;8;3980;154026281;12.819;28069
D;1;3;20;4;6110;487873337;31.680;21901
D;3;3;30;7;13576;63823807;1201.225;328404
D;1;3;30;9;9707;94015145888;7649.746;300234
A;2;2;40;10;33;157758;0.043;645
A;2;2;40;9;52;291655;0.077;1447
A;2;2;60;1;67;2091787;1.071;6296
A;1;2;60;1;68;57006597;1.202;6514
A;1;2;80;4;86;149874047;3.205;8157
A;1;2;100;4;142;740366322;25.858;18706
A;2;2;80;6;140;9801288;27.364;19810
A;2;2;100;3;139;13652547;32.309;20000
A;1;2;120;10;159;2391399324;119.582;26778
B;1;2;400;1;22;2431189594;70.315;66729
B;1;2;400;8;37;1148249746;34.007;53835
A;1;2;100;9;230;5043951098;377.638;40038
B;1;2;500;1;40;12137619611;373.248;135406
C;1;2;60;7;309;2295806529;122.756;27260
C;1;2;80;5;282;2921135561;106.450;29749
C;1;2;80;9;333;8872370898;753.099;47916
A;1;2;120;1;243;12106311907;880.550;60904
B;2;2;500;7;49;431277725;2516.815;104336
D;2;2;40;4;451;13763006;85.196;47865
D;2;2;40;5;304;11365798;82.962;39151
C;1;2;80;3;583;15214411087;1414.757;63170
D;2;2;40;7;436;10213469;57.042;32103
D;2;2;40;6;493;19341511;487.088;65378
D;1;2;40;6;508;9316773179;783.375;66893
C;2;2;100;1;622;91037343;2678.606;128485
D;1;2;50;5;548;17319944031;1548.944;98820
D;2;2;50;4;530;40384432;1249.162;104915
A;2;3;50;3;742;329651345;21.550;23729
A;2;3;50;4;551;217960138;11.231;17669
A;3;3;50;4;551;4704612;4.227;17669
A;1;3;50;5;561;808057193;29.234;17506
A;3;3;50;5;558;6441918;5.759;17439
A;3;3;50;6;841;10646308;23.923;36598
A;3;3;60;2;747;16294566;35.937;45186
A;2;3;60;3;1183;1302088073;139.005;53055
A;2;3;60;7;1317;1358955900;102.663;54048
C;2;2;100;3;669;87147220;3695.570;126244
A;3;3;70;5;1655;46914077;342.651;117309
D;2;2;50;8;621;57959241;3470.082;146631
A;1;3;70;3;2073;23099631663;1991.656;99411
D;2;2;50;3;590;51491549;2602.539;126332
A;3;3;80;8;1751;71599151;812.976;129525
C;1;2;100;7;733;98123641800;10335.460;144152
B;1;3;300;9;256;10369325584;457.932;115136
B;2;3;300;10;147;4591413136;735.590;136664
A;2;3;80;9;2065;40493703178;4262.679;197619
C;1;3;20;1;283;2196566;0.061;1197
C;2;3;20;3;177;242089;0.028;905
C;3;3;20;6;211;155254;0.033;1598
C;2;3;20;5;366;2820754;0.111;2018
C;2;3;20;9;102;234391;0.016;938
C;3;3;20;8;160;178550;0.033;1878
C;3;3;30;6;1324;2989422;2.208;18261
C;1;3;30;1;777;112147422;2.735;7752
C;1;3;30;9;693;126417522;3.400;11091
C;2;3;30;5;1896;235426288;11.928;19218
C;3;3;40;10;4712;16763928;40.263;65192
C;3;3;40;5;3373;19510474;64.806;76651
C;2;3;40;8;3414;741387995;79.480;46988
D;1;3;10;6;131;43440;0.001;182
D;1;3;10;5;107;51353;0.001;202
C;1;3;40;7;3364;5226809406;176.287;55619
D;1;3;10;9;100;41188;0.002;192
D;3;3;20;2;5944;1901894;1.319;20661
D;1;3;20;3;1264;131469890;3.717;13710
D;2;3;20;2;5944;173613822;10.422;20661
D;2;3;20;7;3499;274651967;17.010;26297
D;3;3;30;6;13864;102289612;2637.458;527822
D;2;3;30;2;8703;36770433901;4166.935;272238
D;2;3;30;9;9522;23686422944;1767.343;293482
