chub
n;m;t;i;s;opt;best;iter;time
int;int;float;int;int;float;float;int;float
100;5;0.75;2;7;61964;62081;0;0.116577
100;5;0.75;2;8;61964;62081;4;0.112954
100;5;0.75;2;9;61964;62081;3;0.114698
100;5;0.75;3;0;59754;59802;0;0.184468
100;5;0.75;3;1;59754;59802;0;0.186006
100;5;0.75;3;2;59754;59802;0;0.142876
100;5;0.75;3;3;59754;59802;0;0.137869
100;5;0.75;3;4;59754;59802;3;0.154790
100;5;0.75;3;5;59754;59802;0;0.129643
100;5;0.75;3;6;59754;59802;1;0.137000
100;5;0.75;3;7;59754;59802;7;0.150274
100;5;0.75;3;8;59754;59802;5;0.134930
100;5;0.75;3;9;59754;59802;0;0.130183
100;5;0.75;4;0;60355;60479;0;0.127191
100;5;0.75;4;1;60355;60479;0;0.112758
100;5;0.75;4;2;60355;60479;0;0.112499
100;5;0.75;4;3;60355;60479;2;0.112960
100;5;0.75;4;4;60355;60479;0;0.111813
100;5;0.75;4;5;60355;60479;0;0.125546
100;5;0.75;4;6;60355;60479;1;0.113409
100;5;0.75;4;7;60355;60479;0;0.111377
100;5;0.75;4;8;60355;60479;0;0.113608
100;5;0.75;4;9;60355;60479;0;0.127476
100;5;0.75;5;0;61029;61091;3;0.141536
100;5;0.75;5;1;61029;61091;0;0.129322
100;5;0.75;5;2;61029;61091;1;0.135306
100;5;0.75;5;3;61029;61091;0;0.133583
100;5;0.75;5;4;61029;61091;13;0.145256
100;5;0.75;5;5;61029;61091;1;0.134630
100;5;0.75;5;6;61029;61091;3;0.138479
100;5;0.75;5;7;61029;61091;0;0.134941
100;5;0.75;5;8;61029;61091;3;0.136065
100;5;0.75;5;9;61029;61091;0;0.122940
100;5;0.75;6;0;58920;58959;1;0.129405
100;5;0.75;6;1;58920;58959;3;0.136055
100;5;0.75;6;2;58920;58959;0;0.141881
100;5;0.75;6;3;58920;58959;0;0.136193
100;5;0.75;6;4;58920;58959;0;0.130131
100;5;0.75;6;5;58920;58959;0;0.134592
100;5;0.75;6;6;58920;58959;3;0.134831
100;5;0.75;6;7;58920;58959;0;0.128613
100;5;0.75;6;8;58920;58959;1;0.131683
100;5;0.75;6;9;58920;58959;1;0.132092
100;5;0.75;7;0;61519;61538;0;0.126738
100;5;0.75;7;1;61519;61538;1;0.123020
100;5;0.75;7;2;61519;61538;0;0.123756
100;5;0.75;7;3;61519;61538;0;0.136211
100;5;0.75;7;4;61519;61538;0;0.120360
100;5;0.75;7;5;61519;61538;0;0.118193
100;5;0.75;7;6;61519;61538;0;0.118483
100;5;0.75;7;7;61519;61538;0;0.121983
100;5;0.75;7;8;61519;61538;0;0.122631
100;5;0.75;7;9;61519;61538;1;0.119834
100;5;0.75;8;0;61520;61520;0;0.136713
100;5;0.75;8;1;61520;61520;1;0.136255
100;5;0.75;8;2;61520;61520;3;0.135089
100;5;0.75;8;3;61520;61520;0;0.142285
100;5;0.75;8;4;61520;61520;0;0.141401
100;5;0.75;8;5;61520;61520;0;0.137313
100;5;0.75;8;6;61520;61520;1;0.144149
100;5;0.75;8;7;61520;61520;1;0.142721
100;5;0.75;8;8;61520;61520;0;0.137182
100;5;0.75;8;9;61520;61520;0;0.135633
100;5;0.75;9;0;59408;59453;4;0.116450
100;5;0.75;9;1;59408;59453;0;0.124957
100;5;0.75;9;2;59408;59453;0;0.140365
100;5;0.75;9;3;59408;59453;0;0.126793
100;5;0.75;9;4;59408;59453;0;0.127929
100;5;0.75;9;5;59408;59453;1;0.130243
100;5;0.75;9;6;59408;59453;0;0.132082
100;5;0.75;9;7;59408;59453;0;0.139173
100;5;0.75;9;8;59408;59453;5;0.127257
100;5;0.75;9;9;59408;59453;0;0.136110
100;5;0.75;10;0;59926;59965;0;0.124715
100;5;0.75;10;1;59926;59965;0;0.116832
100;5;0.75;10;2;59926;59965;0;0.116655
100;5;0.75;10;3;59926;59965;0;0.134029
100;5;0.75;10;4;59926;59965;0;0.115710
100;5;0.75;10;5;59926;59965;0;0.114943
100;5;0.75;10;6;59926;59965;0;0.117373
100;5;0.75;10;7;59926;59965;0;0.117161
100;5;0.75;10;8;59926;59965;1;0.116890
100;5;0.75;10;9;59926;59965;0;0.118260
100;10;0.25;1;0;22954;23064;4;0.187216
100;10;0.25;1;1;22954;23064;16;0.186864
100;10;0.25;1;2;22954;23064;2;0.167533
100;10;0.25;1;3;22954;23064;25;0.194592
