classe;np;n;i;pidb;nnodesb;compb;timeb;maxndb;hvb;pid0;time0;nsol0;hv0;comp0;pid2;time2;nsol2;hv2;comp2;pid3;time3;nsol3;hv3;comp3
C;3;40;8;409298;3414;11644477;42.019;46988;1.078e+12;409302;9.498;716;9.782e+11;229080097;409303;7.643;716;9.782e+11;122564925;409304;7.578;716;9.782e+11;122564925
D;3;30;4;409698;10498;60605001;1227.984;346818;2.563e+11;409760;11.996;2355;2.457e+11;293949419;409762;6.472;2355;2.457e+11;198059386;409763;6.385;2355;2.457e+11;198059386
D;3;30;5;409713;7292;40688045;1435.941;225965;3.155e+11;409798;13.709;1683;2.895e+11;251551414;409800;11.173;1683;2.895e+11;322696695;409801;10.019;1683;2.895e+11;322696695
D;3;30;9;409793;9522;48513384;967.503;293482;3.240e+11;409835;12.716;2328;2.982e+11;312359757;409836;7.822;2328;2.982e+11;274422540;409838;7.803;2328;2.982e+11;274422540
D;3;30;8;409774;9850;74713878;2152.420;400465;3.318e+11;409879;10.697;2070;3.093e+11;269063455;409880;5.175;2070;3.093e+11;170809085;409881;5.692;2070;3.093e+11;170809085
A;3;50;9;437917;470;5225667;11.674;21236;9.567e+12;437930;9.514;163;9.105e+12;235245379;437933;9.956;163;9.105e+12;166802471;437934;9.915;163;9.105e+12;166802471
A;3;60;0;437928;728;11494864;39.368;30238;1.189e+13;437940;9.594;122;1.128e+13;237621169;437949;9.973;122;1.128e+13;139054851;437950;9.997;122;1.128e+13;139054851
A;3;60;9;437961;950;16681968;85.423;46276;1.532e+13;437980;9.559;237;1.443e+13;233159090;437983;10.299;237;1.443e+13;159238832;437985;10.293;237;1.443e+13;159238832
A;3;60;7;437948;1317;16185683;118.438;54048;1.266e+13;437982;9.497;328;1.188e+13;223788514;437984;9.729;328;1.188e+13;122196284;437986;9.903;328;1.188e+13;122196284
A;3;70;3;437978;2059;49922700;662.119;98939;2.247e+13;438047;9.908;459;2.102e+13;225379430;438048;10.354;459;2.102e+13;121003455;438049;10.422;459;2.102e+13;121003455
A;3;70;7;438009;2291;39871648;735.227;103042;1.966e+13;438064;9.913;413;1.794e+13;224962166;438066;10.616;413;1.794e+13;130387877;438067;10.550;413;1.794e+13;130387877
A;3;80;8;438060;1751;71599151;1659.422;129525;3.414e+13;438134;9.827;236;3.096e+13;228520381;438136;10.897;236;3.096e+13;144097561;438137;11.056;236;3.096e+13;144097561
A;3;80;3;438037;3512;96300594;2604.097;156680;3.094e+13;438175;10.085;537;2.854e+13;224443426;438176;10.976;537;2.854e+13;129271940;438177;11.013;537;2.854e+13;129271940
A;3;70;6;437998;3413;100347469;5494.624;234049;2.015e+13;438281;9.744;506;1.834e+13;226100094;438282;10.605;506;1.834e+13;124230417;438283;10.774;506;1.834e+13;124230417
A;3;90;9;438188;2938;149889600;6464.938;256098;5.062e+13;438453;10.227;375;4.639e+13;230003889;438455;11.702;375;4.639e+13;169803589;438456;11.704;375;4.639e+13;169803589
A;3;90;5;438148;4274;188167117;7810.887;292988;4.431e+13;438489;10.271;491;4.061e+13;226655171;438490;11.674;491;4.061e+13;144438583;438492;11.731;491;4.061e+13;144438583
B;3;100;4;438503;10;1529180;1.594;3900;7.981e+13;438505;9.663;12;7.983e+13;236738355;438507;21.140;12;7.983e+13;171489475;438509;21.230;12;7.983e+13;171489475
B;3;100;6;438520;7;366321;0.223;884;8.467e+13;438522;8.824;2;8.451e+13;214671629;438523;22.793;2;8.451e+13;196946596;438525;22.958;2;8.451e+13;196946596
B;3;100;8;438537;8;388708;0.279;916;8.852e+13;438539;9.011;3;8.873e+13;222962325;438540;21.655;3;8.873e+13;171997798;438541;21.865;3;8.873e+13;171997798
B;3;200;1;438555;69;37030239;70.308;31463;6.043e+14;438559;11.651;31;6.039e+14;233105981;438560;24.021;31;6.039e+14;154116906;438561;25.321;31;6.039e+14;154116906
B;3;200;3;438573;42;29156619;69.940;23466;6.113e+14;438577;11.038;18;6.102e+14;231437839;438578;23.557;18;6.102e+14;176118385;438580;23.762;18;6.102e+14;176118385
B;3;200;6;438592;77;43078847;102.400;41357;5.796e+14;438599;10.231;9;5.779e+14;215751900;438601;24.966;9;5.779e+14;227002844;438602;24.551;9;5.779e+14;227002844
B;3;300;5;438643;338;207389401;813.057;100212;2.227e+15;438677;12.895;43;2.219e+15;235760750;438679;26.873;43;2.219e+15;127902176;438681;26.841;43;2.219e+15;127902176
B;3;300;1;438614;361;342233941;1651.332;159283;2.143e+15;438706;12.859;54;2.137e+15;236170041;438708;27.225;54;2.137e+15;135518942;438711;26.751;54;2.137e+15;135518942
D;3;30;2;439177;8703;50827358;1499.831;272238;3.508e+11;439234;13.206;2186;3.247e+11;310363706;439236;7.486;2186;3.247e+11;238574131;439237;7.462;2186;3.247e+11;238574131
A;3;90;1;438078;5399;296708958;42328.587;470171;4.828e+13;439966;9.568;767;4.468e+13;219850481;439967;11.218;767;4.468e+13;126869794;439968;11.242;767;4.468e+13;126869794
A;3;50;3;253121;742;7595202;18.278;23729;8.714e+12;253129;9.161;243;8.204e+12;232161042;253132;9.064;243;8.204e+12;114223067;253157;9.081;243;8.204e+12;114223067
A;3;50;0;253109;793;11107620;39.586;34109;5.315e+12;253131;9.261;214;5.015e+12;232406148;253156;8.777;214;5.015e+12;94314383;253162;8.523;214;5.015e+12;94314383
A;3;50;4;253146;551;4704612;7.476;17669;8.415e+12;253159;9.103;193;7.957e+12;228663430;253166;9.770;193;7.957e+12;135787685;253189;9.844;193;7.957e+12;135787685
A;3;50;5;253154;558;6441918;10.875;17439;6.639e+12;253161;9.197;130;6.222e+12;236632883;253175;9.462;130;6.222e+12;144340277;253190;9.465;130;6.222e+12;144340277
A;3;50;8;253174;524;4570139;6.522;13576;7.507e+12;253188;9.083;221;7.093e+12;228338771;253191;9.288;221;7.093e+12;96808944;253214;9.444;221;7.093e+12;96808944
A;3;60;5;253213;1406;17894146;80.284;42094;1.163e+13;253230;9.690;409;1.087e+13;226653393;253232;10.765;409;1.087e+13;132658605;253233;10.768;409;1.087e+13;132658605
